init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,0,1_village_23,"Hello Wolfgang! Welcome to the village. I noticed you out for a run, it's a great way to explore Johnson Park. Have you had a chance to visit any of the local spots yet?"
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,1,1_village_23,"Thank you, Sam! I haven't had much time to explore yet, but I'm looking forward to checking out the local library and maybe grabbing a bite at the cafe. Do you have any recommendations?"
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,2,1_village_23,"I highly recommend checking out Hobbs Cafe, they have amazing coffee and pastries. I'll be there around 8 am tomorrow if you want to join me for a cup of coffee."
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,3,1_village_23,"That sounds great, I'll make sure to join you at Hobbs Cafe tomorrow at 8 am. Thanks for the recommendation!"
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,4,1_village_23,I'm actually planning to have my birthday party at The Rose and Crown Pub tomorrow at 5pm. It would be great if you could join us and meet some of the other villagers!
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,5,1_village_23,"Thank you for the invitation, Sam! I would love to join your birthday party at The Rose and Crown Pub tomorrow at 5pm. I'm excited to meet more of the villagers."
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,6,1_village_23,"I'm glad you're settling in well. If you ever need any tips or recommendations about the village, feel free to ask me anytime. "
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,7,1_village_23,"Thank you, Sam! I appreciate the warm welcome and the invitation. I'm excited to explore more of the village and meet the other villagers at your birthday party tomorrow."
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,8,1_village_23,Feel free to join me for a walk in Johnson Park tomorrow morning if you'd like to explore more of the area. I'll be there at 6 am.
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,9,1_village_23,"Thank you, Sam! I appreciate the invitation to join you for a walk in Johnson Park tomorrow morning at 6 am. I'll definitely be there to explore more of the area with you."
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,10,1_village_23,"I'm glad you're settling in well. If you ever need any tips or recommendations about the village, feel free to ask me anytime."
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,11,1_village_23,"Thank you, Sam! I appreciate your hospitality and the warm welcome. I'm looking forward to exploring the village more and meeting more of the villagers at your birthday party tomorrow."
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,12,1_village_23,Feel free to reach out to me if you need any assistance or have any questions about the village. I'm always here to help.
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,13,1_village_23,"Thank you, Sam! I really appreciate the warm welcome and all the recommendations. I'm looking forward to exploring the village with your suggestions in mind."
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,14,1_village_23,Feel free to reach out to me if you need any assistance or have any questions about the village. I'm always here to help.
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,15,1_village_23,"Thank you, Sam! I really appreciate your hospitality and all the information you've shared. I'm excited to join you for a coffee at Hobbs Cafe tomorrow at 8 am and meet more of the villagers at your birthday party at The Rose and Crown Pub at 5 pm. It's great to know that I can always ask you for tips about the village."
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,0,1_village_23,"Hey Sam, have you tried the new pastry we have on the menu today? It's a special recipe I wanted to share with everyone."
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 08:12:00",6,1,1_village_23,"Oh, that sounds delicious! I haven't tried it yet, but I'll definitely give it a taste. Thank you for sharing your special recipe with us!"
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,2,1_village_23,Do you have any recommendations for places to visit or activities to do around the village? I'm still exploring and would love some local tips!
