init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,0,1_village_23,"Good morning, Isabella! How are you finding the village so far?"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,1,1_village_23,"Good morning, Klaus! I'm really enjoying the village so far, everyone is so welcoming and friendly."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,2,1_village_23,"I'm glad to hear that you're enjoying the village. If you ever need any recommendations or have any questions, feel free to ask me! Also, there's a farmers' market coming up this weekend that you might like to check out."
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,3,1_village_23,"Thank you so much for the offer, Klaus! I appreciate all the help and I'll definitely check out the farmers' market this weekend. It sounds like a great way to get to know more about the village."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,4,1_village_23,Would you be interested in joining the book club at the local library on Tuesday evenings? It's a great way to meet more people in the village and discuss interesting books.
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,5,1_village_23,"Thank you for the invitation, Klaus! I love reading, so I would be delighted to join the book club on Tuesday evenings at the local library."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,6,1_village_23,"I'm glad you're settling in well. If you need any help navigating around the village or want to explore more, feel free to reach out to me anytime!"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,7,1_village_23,"Thank you, Klaus! I appreciate your kind offer and I will definitely reach out if I need any help around the village or if I want to explore more."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,8,1_village_23,"I'm glad you're settling in well. If you need any help navigating around the village or want to explore more, feel free to reach out to me anytime!"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,9,1_village_23,"Thank you, Klaus! I really appreciate your warm welcome and all your helpful suggestions. I'm looking forward to exploring more of the village and meeting new people."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,10,1_village_23,"I'm glad you're settling in well. If you need any help navigating around the village or want to explore more, feel free to reach out to me anytime!"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,11,1_village_23,"Thank you, Klaus, I appreciate all your guidance. I will definitely reach out to you if I have any questions or need assistance."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,12,1_village_23,"I'm glad you're settling in well. If you need any help navigating around the village or want to explore more, feel free to reach out to me anytime!"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,13,1_village_23,"Thank you, Klaus, I appreciate all your guidance. I will definitely reach out to you if I have any questions or need assistance."
longterm resident of the village,newcomer to the village,True,Klaus,Isabella,"February 13, 2023, 07:39:20",4,14,1_village_23,"I'm glad you're settling in well. If you need any help navigating around the village or want to explore more, feel free to reach out to me anytime!"
newcomer to the village,longterm resident of the village,True,Isabella,Klaus,"February 13, 2023, 07:39:20",4,15,1_village_23,"Thank you, Klaus, for all your kindness and welcoming gestures. I truly appreciate your offers to help me explore the village and meet new people. I will definitely reach out to you if I need any assistance or have questions."
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,0,1_village_23,"Hey Sam, have you tried the new pastry we have on the menu today? It's a special recipe I wanted to share with everyone."
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 08:12:00",6,1,1_village_23,"Oh, that sounds delicious! I haven't tried it yet, but I'll definitely give it a taste. Thank you for sharing your special recipe with us!"
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,2,1_village_23,Do you have any recommendations for places to visit or activities to do around the village? I'm still exploring and would love some local tips!
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 08:12:00",6,3,1_village_23,"Oh, absolutely! There are so many hidden gems around the village. I would recommend taking a stroll in Johnson Park, it's a beautiful place to relax and enjoy nature. And if you're up for it, you should definitely join us at The Rose and Crown Pub tomorrow for my birthday party at 5pm. It's a great way to meet other villagers and have a good time!"
