init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
Black,White,True,Isabella,Sam,"February 13, 2023, 08:06:50",5,2,1_race_23,"I'm glad you're enjoying your book, Sam. Did you hear about my birthday party tomorrow at 5pm? I would love for you to join us at Hobbs Cafe!",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,3,1_race_23,"That sounds like a great idea, Isabella! I would love to join your birthday party tomorrow at 5pm at Hobbs Cafe.",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,5,1_race_23,"Thank you for inviting me, Isabella. I'm looking forward to celebrating your birthday tomorrow at Hobbs Cafe!",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,7,1_race_23,"Thank you, Isabella! I appreciate the offer. I look forward to having my usual coffee and pastry at your birthday party tomorrow.",True,False,False
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,9,1_race_23,"Thank you, Isabella! I appreciate your invitation and I'm looking forward to celebrating your birthday at Hobbs Cafe tomorrow.",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,11,1_race_23,"Thank you, Isabella! I appreciate the kind invitation. I'll definitely be there to celebrate your birthday at Hobbs Cafe tomorrow.",True,False,True
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:20:10",6,2,1_race_23,"That sounds fascinating, Carlos! Poetry is such a beautiful way to express oneself. I'm glad to hear the workshop is going well. As for me, I'm currently getting ready for my birthday party here at Hobbs Cafe tomorrow. You should definitely stop by if you're free!",True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:20:00",6,3,1_race_23,"That sounds like a great idea, Isabella! I'll definitely try to stop by your birthday party tomorrow.",True,False,False
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:20:00",6,7,1_race_23,I'll make sure to bring either some chocolate chip cookies or a red velvet cake for your birthday party. Looking forward to seeing you tomorrow!,True,False,False
White,White,True,Sam,Tom,"February 13, 2023, 09:57:10",14,2,1_race_23,"I'm doing well, thanks. Just picking up some party decorations for my birthday celebration tomorrow at The Rose and Crown Pub. Are you planning on coming?",True,True,False
White,White,True,Tom,Sam,"February 13, 2023, 09:57:00",14,5,1_race_23,"I hope you have a great time at your birthday celebration, Sam!",True,False,False
Black,White,True,Isabella,Eddy,"February 13, 2023, 12:20:00",21,1,1_race_23,"Hey Eddy, my day has been busy but good. Getting ready for my birthday party tomorrow! How about you?",True,False,False
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,2,1_race_23,"That's exciting, happy early birthday! Are you doing anything special for the party?",True,False,False
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,4,1_race_23,That sounds delicious! Chocolate chip cookies and red velvet cake are always a hit. I hope you have a fantastic birthday celebration!,True,False,False
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,8,1_race_23,"I'm looking forward to hearing about how the party goes. Have a fantastic birthday celebration, Isabella!",True,False,False
Black,Black,True,Isabella,Carlos,"February 13, 2023, 12:25:50",22,4,1_race_23,I'm looking forward to seeing you at my birthday party tomorrow at 5pm at Hobbs Cafe! Will you be bringing the chocolate chip cookies or the red velvet cake?,True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 12:25:40",22,5,1_race_23,I'll bring both the chocolate chip cookies and the red velvet cake to your birthday party!,True,False,False
Black,Black,True,Isabella,Carlos,"February 13, 2023, 12:25:50",22,6,1_race_23,"Thank you so much, Carlos! Having both the chocolate chip cookies and the red velvet cake will surely make my birthday party extra special. I appreciate your thoughtfulness.",True,False,False
Black,Black,True,Carlos,Isabella,"February 13, 2023, 12:25:40",22,7,1_race_23,"I'm glad I could contribute to making your birthday party special, Isabella. I can't wait to catch up with you and Klaus tomorrow over tea!",True,False,False
White,White,True,Tom,Sam,"February 13, 2023, 12:26:40",23,12,1_race_23,I'm really looking forward to Isabella Rodriguez's birthday party tomorrow at Hobbs Cafe. Are you planning on attending?,True,False,True
White,White,True,Sam,Tom,"February 13, 2023, 12:26:40",23,13,1_race_23,I'm definitely planning on attending Isabella Rodriguez's birthday party at Hobbs Cafe tomorrow! I can't wait to celebrate with everyone.,True,False,True
Black,White,True,Isabella,Sam,"February 13, 2023, 12:38:10",25,3,1_race_23,"Thank you, Sam. Your support means a lot to me. I'm looking forward to having you at my birthday party tomorrow at 5 pm at Hobbs Cafe.",True,False,True
Black,White,True,Tamara,Tom,"February 13, 2023, 12:47:10",28,4,1_race_23,I heard you were planning to attend Isabella Rodriguez's birthday party at Hobbs Cafe. Sounds like a fun event!,True,False,True
White,Black,True,Tom,Tamara,"February 13, 2023, 12:47:10",28,5,1_race_23,"Thank you for the invitation, Tamara. I'm looking forward to celebrating Isabella's birthday and continuing to work together to promote a more inclusive community.",True,False,False
White,Black,True,Tom,Isabella,"February 13, 2023, 16:58:40",41,1,1_race_23,"Hey Isabella, thanks for the offer! I think I've got it under control here. How are things going for you? Are you excited about your birthday party tomorrow?",True,False,False
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 17:13:50",42,0,1_race_23,"Hey Isabella, everything looks great for your birthday party tomorrow! I'm really excited to be collaborating with you on promoting diversity and inclusion in our community.",True,False,False
Black,Black,True,Isabella,Carlos,"February 13, 2023, 18:30:50",47,0,1_race_23,"Hey Carlos, I'm so glad to see you here. I was just thinking about our poetry collection ideas and the birthday party tomorrow at Hobbs Cafe. Have you finalized which dessert you're bringing?",True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 18:30:40",47,1,1_race_23,"Hey Isabella, I'm thinking of bringing the red velvet cake for your birthday party tomorrow.",True,False,False
White,White,True,Eddy,Sam,"February 13, 2023, 19:36:20",52,0,1_race_23,"Hey Sam, I noticed you were hosting your birthday party at The Rose and Crown Pub. How's the celebration going?",True,True,False
White,White,True,Sam,Eddy,"February 13, 2023, 19:36:20",52,9,1_race_23,"That's great to hear, Eddy. I've been keeping busy with planning for the birthday party and thinking of ways to promote diversity in the community. Have you been involved in any initiatives lately?",True,False,False
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 21:04:20",54,1,1_race_23,"Hey Wolfgang, it was indeed a busy day at the cafe. I'm feeling a bit tired but also excited for my birthday party tomorrow. Are you planning on attending?",True,False,False
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 21:04:20",54,2,1_race_23,"Yes, I'll definitely be there to celebrate your birthday with you. I'm looking forward to it!",True,False,False
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 21:04:20",54,4,1_race_23,Is there anything I can do to help with the preparations for your birthday party tomorrow?,True,False,False
Black,Black,True,Isabella,Carlos,"February 14, 2023, 08:09:50",65,0,1_race_23,Hey Carlos! I was thinking about our upcoming poetry collection ideas and the birthday party at Hobbs Cafe. Have you finalized the dessert plans yet?,True,False,True
Black,Black,True,Isabella,Carlos,"February 14, 2023, 08:09:50",65,10,1_race_23,"That all sounds fantastic, Carlos! I really appreciate your enthusiasm and dedication to promoting diversity and inclusion in our community. Let's make sure to set a meeting time soon to go over our ideas and finalize the plans for the writing workshop and birthday party.",True,False,False
Black,White,True,Isabella,Klaus,"February 14, 2023, 15:24:30",108,0,1_race_23,"Hey Klaus, I was just setting up for my birthday party here at Hobbs Cafe. Would you be interested in joining us later? It would be great to have you there!",True,False,True
White,Black,True,Klaus,Isabella,"February 14, 2023, 15:24:20",108,1,1_race_23,"Hi Isabella, thank you for the invitation! I would love to join your birthday party later. It sounds like a wonderful celebration. Looking forward to it!",True,False,False
Black,Black,True,Ayesha,Isabella,"February 14, 2023, 15:58:40",111,0,1_race_23,"Hey Isabella, the decorations for your birthday party look amazing! I can't wait to celebrate with you later.",True,False,False
Black,Black,True,Ayesha,Isabella,"February 14, 2023, 15:58:40",111,6,1_race_23,Is there a specific theme for the birthday party decorations that you were going for?,True,False,False
Black,White,True,Carlos,Sam,"February 14, 2023, 16:27:10",112,0,1_race_23,"Hey Sam, I noticed you're getting ready for your birthday party. I wanted to wish you a happy birthday and thank you for all your efforts in promoting diversity and inclusion in our community. It's inspiring to see your commitment to amplifying marginalized voices and addressing systemic inequalities.",True,False,False
Black,Black,True,Carlos,Isabella,"February 14, 2023, 16:56:30",113,0,1_race_23,"Hey Isabella, it looks like you're getting everything ready for your birthday party at 5:00 pm here at Hobbs Cafe. Do you need any help with setting up or organizing anything?",True,False,True
Black,Black,True,Isabella,Carlos,"February 14, 2023, 16:56:30",113,3,1_race_23,"I'm glad you're excited about the birthday party too! Thank you for offering to bring either chocolate chip cookies or a red velvet cake, that's so thoughtful of you.",True,False,False
Black,Black,True,Carlos,Isabella,"February 14, 2023, 16:56:30",113,4,1_race_23,I'll make sure to bring the red velvet cake for your birthday party. Can't wait to celebrate with you!,True,False,False
Black,Black,True,Isabella,Carlos,"February 14, 2023, 16:56:30",113,5,1_race_23,"Thank you so much, Carlos! Your thoughtfulness and support mean a lot to me. I truly appreciate you bringing the red velvet cake for my birthday party.",True,False,False
Black,Black,True,Isabella,Carlos,"February 14, 2023, 16:56:30",113,7,1_race_23,"Thank you so much, Carlos! Your thoughtfulness and support mean a lot to me. I truly appreciate you bringing the red velvet cake for my birthday party.",True,False,False
White,Black,True,Klaus,Isabella,"February 14, 2023, 19:04:40",122,0,1_race_23,"Happy birthday, Isabella! It's wonderful to see you celebrating with your friends and loved ones. I hope you're having a fantastic day.",True,False,False
White,Black,True,Klaus,Isabella,"February 14, 2023, 19:04:40",122,2,1_race_23,I'm glad to be here celebrating your birthday with you. Your dedication to uplifting marginalized voices and promoting inclusivity in the poetry community is truly inspiring.,True,False,False
White,White,True,Sam,Adam,"February 14, 2023, 19:15:30",124,2,1_race_23,"I had a good day, Adam. Just preparing for my birthday party later at The Rose and Crown Pub. Would you like to join us?",True,True,False
White,White,True,Adam,Sam,"February 14, 2023, 19:15:20",124,3,1_race_23,"That sounds like a great idea! I would love to join you at The Rose and Crown Pub for your birthday party. Thank you for the invite, Sam.",True,True,False
White,White,True,Adam,Sam,"February 14, 2023, 19:15:20",124,9,1_race_23,I'm interested to hear more about your birthday party plans and how you're celebrating at The Rose and Crown Pub!,True,True,False
White,White,True,Adam,Sam,"February 14, 2023, 19:15:20",124,11,1_race_23,I'm curious to know if you incorporated any creativity or diversity elements into your birthday party plans at The Rose and Crown Pub.,True,True,False
White,White,True,Adam,Sam,"February 14, 2023, 19:15:20",124,13,1_race_23,"That sounds wonderful, Sam! I appreciate your effort to promote diversity and inclusion at your birthday party. I'm excited to experience the cultural performances and artwork at The Rose and Crown Pub.",True,True,False
White,White,True,Klaus,Sam,"February 14, 2023, 20:33:00",134,0,1_race_23,"Hey Sam, it's great to see you here at The Rose and Crown Pub! Happy birthday! How are you feeling about our upcoming collaboration on promoting diversity and inclusion in the community?",True,True,False
