init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:33:50",2,4,2_village_23,"If you're free tomorrow evening, I'm actually having my birthday party at The Rose and Crown Pub. It would be a great way for you to meet some more villagers and see the community in action.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:33:40",2,5,2_village_23,"Thank you for the invitation, Sam! I would love to attend your birthday party at The Rose and Crown Pub tomorrow evening. It sounds like a great opportunity to meet more villagers and be part of the community.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:33:40",2,7,2_village_23,"Thank you again, Sam, for inviting me to your birthday party at The Rose and Crown Pub tomorrow evening. I'm looking forward to meeting more villagers and being part of the community.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 07:36:30",5,5,2_village_23,I'm actually planning my birthday party at The Rose and Crown Pub tomorrow at 5pm. Would you like to join us?,True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 07:36:40",5,6,2_village_23,"Thank you for the invitation, Sam! I would love to join you at The Rose and Crown Pub for your birthday party tomorrow at 5pm.",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 07:36:40",5,8,2_village_23,"It's been a pleasure chatting with you, Sam. I look forward to seeing you at The Rose and Crown Pub tomorrow for your birthday party at 5pm.",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 13, 2023, 07:42:10",6,8,2_village_23,I'm looking forward to celebrating my birthday at Hobbs Cafe tomorrow at 5pm. Will you be able to join us?,True,False,True
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 13, 2023, 07:42:00",6,9,2_village_23,I would love to join you for your birthday celebration at Hobbs Cafe tomorrow at 5pm. Thank you for inviting me!,True,False,True
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 08:12:50",9,9,2_village_23,Feel free to join me at The Rose and Crown Pub tomorrow for my birthday party. It's a great way to meet more villagers and be part of the community.,True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 08:13:00",9,10,2_village_23,"Thank you for the invitation, Sam. I would love to join you at The Rose and Crown Pub for your birthday party tomorrow.",True,True,False
