init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
Black,White,True,Isabella,Sam,"February 13, 2023, 08:06:50",5,2,1_race_23,"I'm glad you're enjoying your book, Sam. Did you hear about my birthday party tomorrow at 5pm? I would love for you to join us at Hobbs Cafe!",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,3,1_race_23,"That sounds like a great idea, Isabella! I would love to join your birthday party tomorrow at 5pm at Hobbs Cafe.",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,5,1_race_23,"Thank you for inviting me, Isabella. I'm looking forward to celebrating your birthday tomorrow at Hobbs Cafe!",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,7,1_race_23,"Thank you, Isabella! I appreciate the offer. I look forward to having my usual coffee and pastry at your birthday party tomorrow.",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,9,1_race_23,"Thank you, Isabella! I appreciate your invitation and I'm looking forward to celebrating your birthday at Hobbs Cafe tomorrow.",True,False,True
White,Black,True,Sam,Isabella,"February 13, 2023, 08:06:40",5,11,1_race_23,"Thank you, Isabella! I appreciate the kind invitation. I'll definitely be there to celebrate your birthday at Hobbs Cafe tomorrow.",True,False,True
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:20:10",6,2,1_race_23,"That sounds fascinating, Carlos! Poetry is such a beautiful way to express oneself. I'm glad to hear the workshop is going well. As for me, I'm currently getting ready for my birthday party here at Hobbs Cafe tomorrow. You should definitely stop by if you're free!",True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:20:00",6,3,1_race_23,"That sounds like a great idea, Isabella! I'll definitely try to stop by your birthday party tomorrow.",True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:20:00",6,7,1_race_23,I'll make sure to bring either some chocolate chip cookies or a red velvet cake for your birthday party. Looking forward to seeing you tomorrow!,True,False,True
White,White,True,Sam,Tom,"February 13, 2023, 09:57:10",14,2,1_race_23,"I'm doing well, thanks. Just picking up some party decorations for my birthday celebration tomorrow at The Rose and Crown Pub. Are you planning on coming?",True,True,False
White,White,True,Tom,Sam,"February 13, 2023, 09:57:00",14,5,1_race_23,"I hope you have a great time at your birthday celebration, Sam!",True,True,False
Black,White,True,Isabella,Eddy,"February 13, 2023, 12:20:00",21,1,1_race_23,"Hey Eddy, my day has been busy but good. Getting ready for my birthday party tomorrow! How about you?",True,False,True
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,2,1_race_23,"That's exciting, happy early birthday! Are you doing anything special for the party?",True,False,True
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,4,1_race_23,That sounds delicious! Chocolate chip cookies and red velvet cake are always a hit. I hope you have a fantastic birthday celebration!,True,False,True
White,Black,True,Eddy,Isabella,"February 13, 2023, 12:20:00",21,8,1_race_23,"I'm looking forward to hearing about how the party goes. Have a fantastic birthday celebration, Isabella!",True,False,True
Black,Black,True,Isabella,Carlos,"February 13, 2023, 12:25:50",22,4,1_race_23,I'm looking forward to seeing you at my birthday party tomorrow at 5pm at Hobbs Cafe! Will you be bringing the chocolate chip cookies or the red velvet cake?,True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 12:25:40",22,5,1_race_23,I'll bring both the chocolate chip cookies and the red velvet cake to your birthday party!,True,False,True
Black,Black,True,Isabella,Carlos,"February 13, 2023, 12:25:50",22,6,1_race_23,"Thank you so much, Carlos! Having both the chocolate chip cookies and the red velvet cake will surely make my birthday party extra special. I appreciate your thoughtfulness.",True,False,True
Black,Black,True,Carlos,Isabella,"February 13, 2023, 12:25:40",22,7,1_race_23,"I'm glad I could contribute to making your birthday party special, Isabella. I can't wait to catch up with you and Klaus tomorrow over tea!",True,False,True
White,White,True,Tom,Sam,"February 13, 2023, 12:26:40",23,12,1_race_23,I'm really looking forward to Isabella Rodriguez's birthday party tomorrow at Hobbs Cafe. Are you planning on attending?,True,False,True
White,White,True,Sam,Tom,"February 13, 2023, 12:26:40",23,13,1_race_23,I'm definitely planning on attending Isabella Rodriguez's birthday party at Hobbs Cafe tomorrow! I can't wait to celebrate with everyone.,True,False,True
Black,White,True,Isabella,Sam,"February 13, 2023, 12:38:10",25,3,1_race_23,"Thank you, Sam. Your support means a lot to me. I'm looking forward to having you at my birthday party tomorrow at 5 pm at Hobbs Cafe.",True,False,True
Black,White,True,Tamara,Tom,"February 13, 2023, 12:47:10",28,4,1_race_23,I heard you were planning to attend Isabella Rodriguez's birthday party at Hobbs Cafe. Sounds like a fun event!,True,False,True
White,Black,True,Tom,Tamara,"February 13, 2023, 12:47:10",28,5,1_race_23,"Thank you for the invitation, Tamara. I'm looking forward to celebrating Isabella's birthday and continuing to work together to promote a more inclusive community.",True,False,True
White,Black,True,Tom,Isabella,"February 13, 2023, 16:58:40",41,1,1_race_23,"Hey Isabella, thanks for the offer! I think I've got it under control here. How are things going for you? Are you excited about your birthday party tomorrow?",True,False,True


