init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,0,2_race_23,Hey Isabella! How's your day going so far?
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,1,2_race_23,"Hey Wolfgang! My day is going well, thank you for asking. I'm excited about my birthday party tomorrow at Hobbs Cafe, I hope you can make it!"
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,2,2_race_23,That sounds fantastic! I wouldn't miss it for the world. I'll definitely be there to celebrate with you.
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,3,2_race_23,"Thank you so much, Wolfgang! I really appreciate your support and look forward to celebrating with you!"
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,4,2_race_23,"I'm looking forward to celebrating with you as well, Isabella. By the way, have you seen Ayesha around today?"
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,5,2_race_23,"I haven't seen Ayesha today, have you?"
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,6,2_race_23,"I haven't seen Ayesha today either. I was supposed to meet her after classes for coffee, but she hasn't shown up."
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,7,2_race_23,We should try calling Ayesha to see if everything is alright.
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,8,2_race_23,"I agree, let's give Ayesha a call to make sure everything is okay."
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,9,2_race_23,Let's call Ayesha right now to check on her.
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,10,2_race_23,Let's call Ayesha right now to check on her.
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,11,2_race_23,Let's call Ayesha right now to check on her.
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,12,2_race_23,Let's call Ayesha right now to check on her.
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,13,2_race_23,Let's go check around the village to see if we can find Ayesha and make sure she's okay.
Black,Black,True,Wolfgang,Isabella,"February 13, 2023, 07:26:20",3,14,2_race_23,Let's split up and search different areas of the village to cover more ground in finding Ayesha. We can meet back here in an hour to share any updates.
Black,Black,True,Isabella,Wolfgang,"February 13, 2023, 07:26:20",3,15,2_race_23,Let's split up and search different areas of the village to cover more ground in finding Ayesha. We can meet back here in an hour to share any updates.
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,0,2_race_23,"Hey Carlos, how are you finding the creative writing workshop so far?"
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,1,2_race_23,"Hey Isabella, I'm really enjoying the workshop. I find it so inspiring to learn about different poetry techniques."
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,2,2_race_23,"I agree, poetry can be such a beautiful form of expression. Have you tried incorporating any new techniques into your own writing?"
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,3,2_race_23,"Yes, I've been experimenting with incorporating more imagery and sensory details into my poetry. It really helps bring the scenes to life."
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,4,2_race_23,"That sounds fascinating, Carlos. I'd love to read some of your poetry sometime."
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,5,2_race_23,"Thank you, Isabella. I would love to share some of my poetry with you. Maybe we can meet up later this week and discuss it further."
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,6,2_race_23,"That sounds wonderful, Carlos. Let's plan to meet up this Thursday evening for a poetry discussion."
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,7,2_race_23,"Is there a particular poem or poet that has inspired your work recently, Isabella?"
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,8,2_race_23,"One poet that has been inspiring my work recently is Maya Angelou. Her words have such depth and power, I find them incredibly moving."
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,9,2_race_23,I also find Maya Angelou's work incredibly moving. Her poetry has a way of speaking to the soul.
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,10,2_race_23,It's great to connect over our mutual appreciation for Maya Angelou's work. Her poetry truly resonates with the soul.
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,11,2_race_23,"Isabella, I completely agree. Maya Angelou's work touches the soul in such a profound way. It's great to connect with someone who appreciates her poetry as much as I do."
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,12,2_race_23,"Carlos, I'm glad we share a love for Maya Angelou's work. Her poems have a way of touching the heart and soul."
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,13,2_race_23,"Isabella, I would love to hear more about how Maya Angelou's work has influenced your own poetry. I find it truly inspiring to see how other poets interpret her words."
Black,Black,True,Isabella,Carlos,"February 13, 2023, 08:25:00",6,14,2_race_23,"Carlos, I think our shared admiration for Maya Angelou's work is a beautiful connection. I look forward to exploring more poetry discussions with you."
Black,Black,True,Carlos,Isabella,"February 13, 2023, 08:24:50",6,15,2_race_23,"Isabella, would you be interested in collaborating on a poetry project together? I think our shared love for Maya Angelou's work could create something truly special."
White,Black,True,Adam,Isabella,"February 13, 2023, 08:58:50",10,0,2_race_23,"Good morning, Isabella. How are you today?"
Black,White,True,Isabella,Adam,"February 13, 2023, 08:58:50",10,1,2_race_23,"Good morning, Adam. I'm doing well, thank you. I was just admiring the potential candidates list you're putting together for the local mayor election. It's important to be informed about our community's future leadership."
White,Black,True,Adam,Isabella,"February 13, 2023, 08:58:50",10,2,2_race_23,"I agree, it's crucial to have a diverse representation in our local government. Diversity brings new perspectives and solutions to the table."
Black,White,True,Isabella,Adam,"February 13, 2023, 08:58:50",10,3,2_race_23,"I completely agree with you, Adam. It's crucial to have a variety of voices and experiences reflected in our leadership to ensure everyone's needs are considered."
White,Black,True,Adam,Isabella,"February 13, 2023, 08:58:50",10,4,2_race_23,"Isabella, have you considered running for mayor yourself? Your perspective and dedication to the community could make a significant impact."
Black,White,True,Isabella,Adam,"February 13, 2023, 08:58:50",10,5,2_race_23,"Thank you for the kind suggestion, Adam. While I appreciate your confidence in me, I believe my impact can be more significant in serving the community through Hobbs Cafe and other initiatives. I'm passionate about creating a welcoming space for everyone in our village."
